idplot	name	x	y	idtreat
21	036	-83.553839	10.230801	+P
18	040	-83.553572	10.232763	+NP
19	044	-83.554478	10.232283	Control
23	030	-83.549174	10.230848	+NP
24	049	-83.54912	10.231545	Control
16	053	-83.552971	10.233371	+P
15	057	-83.552653	10.234347	+P
14	063	-83.553134	10.236022	Control
20	068	-83.553615	10.235571	+NP
13	072	-83.553065	10.237927	+N
1	076	-83.566467	10.226347	+N
3	080	-83.565694	10.224463	+NP
2	084	-83.566275	10.225842	Control
4	088	-83.566399	10.223614	+P
5	092	-83.565679	10.222871	+NP
12	096	-83.56556	10.222342	+N
7	100	-83.564282	10.221788	Control
6	104	-83.564868	10.221822	+P
9	108	-83.566348	10.221323	+P
8	112	-83.566202	10.220805	Control
10	116	-83.565623	10.219899	+N
11	120	-83.566119	10.218977	+NP
